Gary E. Stevenson,saturday-morning,2023,4,0,0,The Greatest Easter Story Ever Told,/general-conference/2023/04/11stevenson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1010-gary-e-stevenson-32k-eng.mp3
Bonnie H. Cordon,saturday-morning,2023,4,0,1,Never Give Up an Opportunity to Testify of Christ,/general-conference/2023/04/12cordon,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1020-bonnie-h-cordon-32k-eng.mp3
Carl B. Cook,saturday-morning,2023,4,0,2,Just Keep Going—with Faith,/general-conference/2023/04/13cook,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1030-carl-b-cook-32k-eng.mp3
Gerrit W. Gong,saturday-morning,2023,4,0,3,Ministering,/general-conference/2023/04/14gong,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1040-gerrit-w-gong-32k-eng.mp3
Quentin L. Cook,saturday-morning,2023,4,0,4,Safely Gathered Home,/general-conference/2023/04/15cook,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1050-quentin-l-cook-32k-eng.mp3
Allen D. Haynie,saturday-morning,2023,4,0,5,A Living Prophet for the Latter Days,/general-conference/2023/04/16haynie,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1060-allen-d-haynie-32k-eng.mp3
Henry B. Eyring,saturday-morning,2023,4,0,6,Finding Personal Peace,/general-conference/2023/04/17eyring,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1070-henry-b-eyring-32k-eng.mp3
Dallin H. Oaks,saturday-afternoon,2023,4,1,0,"Sustaining of General Authorities, Area Seventies, and General Officers",/general-conference/2023/04/21oaks,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2010-sustaining-of-general-authorities-area-seventies-and-general-officers-32k-eng.mp3
Jared B. Larson,saturday-afternoon,2023,4,1,1,"Church Auditing Department Report, 2022",/general-conference/2023/04/22larson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2020-church-auditing-department-report-2022-32k-eng.mp3
Dale G. Renlund,saturday-afternoon,2023,4,1,2,Accessing God’s Power through Covenants,/general-conference/2023/04/23renlund,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2030-dale-g-renlund-32k-eng.mp3
Peter F. Meurs,saturday-afternoon,2023,4,1,3,He Could Heal <em>Me</em>!,/general-conference/2023/04/24meurs,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2040-peter-f-meurs-32k-eng.mp3
Randall K. Bennett,saturday-afternoon,2023,4,1,4,Your Patriarchal Blessing—Inspired Direction from Heavenly Father,/general-conference/2023/04/25bennett,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2050-randall-k-bennett-32k-eng.mp3
Craig C. Christensen,saturday-afternoon,2023,4,1,5,“There Can Be Nothing So Exquisite and Sweet as Was My Joy”,/general-conference/2023/04/26christensen,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2060-craig-c-christensen-32k-eng.mp3
Evan A. Schmutz,saturday-afternoon,2023,4,1,6,Trusting the Doctrine of Christ,/general-conference/2023/04/27schmutz,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2070-evan-a-schmutz-32k-eng.mp3
Benjamín De Hoyos,saturday-afternoon,2023,4,1,7,The Work of the Temple and Family History—One and the Same Work,/general-conference/2023/04/28de-hoyos,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2080-benjamin-de-hoyos-32k-eng.mp3
Dieter F. Uchtdorf,saturday-afternoon,2023,4,1,8,Jesus Christ Is the Strength of Parents,/general-conference/2023/04/29uchtdorf,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2090-dieter-f-uchtdorf-32k-eng.mp3
Mark A. Bragg,saturday-evening,2023,4,2,0,Christlike Poise,/general-conference/2023/04/31bragg,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3010-mark-a-bragg-32k-eng.mp3
Milton Camargo,saturday-evening,2023,4,2,1,Focus on Jesus Christ,/general-conference/2023/04/32camargo,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3020-milton-camargo-32k-eng.mp3
K. Brett Nattress,saturday-evening,2023,4,2,2,Have I Truly Been Forgiven?,/general-conference/2023/04/33nattress,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3030-k-brett-nattress-32k-eng.mp3
Juan A. Uceda,saturday-evening,2023,4,2,3,The Lord Jesus Christ Teaches Us to Minister,/general-conference/2023/04/34uceda,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3040-juan-a-uceda-32k-eng.mp3
D. Todd Christofferson,sunday-morning,2023,4,3,0,One in Christ,/general-conference/2023/04/41christofferson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4010-d-todd-christofferson-32k-eng.mp3
Camille N. Johnson,sunday-morning,2023,4,3,1,Jesus Christ Is Relief,/general-conference/2023/04/42johnson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4020-camille-n-johnson-32k-eng.mp3
Ulisses Soares,sunday-morning,2023,4,3,2,Followers of the Prince of Peace,/general-conference/2023/04/43soares,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4030-ulisses-soares-32k-eng.mp3
Kazuhiko Yamashita,sunday-morning,2023,4,3,3,When to Receive Your Patriarchal Blessing,/general-conference/2023/04/44yamashita,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4040-kazuhiko-yamashita-32k-eng.mp3
Neil L. Andersen,sunday-morning,2023,4,3,4,My Mind Caught Hold upon This Thought of Jesus Christ,/general-conference/2023/04/45andersen,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4050-neil-l-andersen-32k-eng.mp3
Kevin R. Duncan,sunday-morning,2023,4,3,5,A Voice of Gladness!,/general-conference/2023/04/46duncan,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4060-kevin-r-duncan-32k-eng.mp3
Russell M. Nelson,sunday-morning,2023,4,3,6,Peacemakers Needed,/general-conference/2023/04/47nelson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-4070-russell-m-nelson-32k-eng.mp3
Dallin H. Oaks,sunday-afternoon,2023,4,4,0,The Teachings of Jesus Christ,/general-conference/2023/04/51oaks,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5010-dallin-h-oaks-32k-eng.mp3
M. Russell Ballard,sunday-afternoon,2023,4,4,1,Remember What Matters Most,/general-conference/2023/04/52ballard,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5020-m-russell-ballard-32k-eng.mp3
Ronald A. Rasband,sunday-afternoon,2023,4,4,2,Hosanna to the Most High God,/general-conference/2023/04/53rasband,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5030-ronald-a-rasband-32k-eng.mp3
Vern P. Stanfill,sunday-afternoon,2023,4,4,3,The Imperfect Harvest,/general-conference/2023/04/54stanfill,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5040-vern-p-stanfill-32k-eng.mp3
W. Mark Bassett,sunday-afternoon,2023,4,4,4,After the Fourth Day,/general-conference/2023/04/55bassett,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5050-w-mark-bassett-32k-eng.mp3
Ahmad S. Corbitt,sunday-afternoon,2023,4,4,5,Do You Know Why I as a Christian Believe in Christ?,/general-conference/2023/04/56corbitt,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5060-ahmad-s-corbitt-32k-eng.mp3
David A. Bednar,sunday-afternoon,2023,4,4,6,"“Abide in Me, and I in You; Therefore Walk with Me”",/general-conference/2023/04/57bednar,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5070-david-a-bednar-32k-eng.mp3
Russell M. Nelson,sunday-afternoon,2023,4,4,7,The Answer Is Always Jesus Christ,/general-conference/2023/04/58nelson,https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-5080-russell-m-nelson-32k-eng.mp3
Dallin H. Oaks,saturday-morning,2022,10,0,0,Helping the Poor and Distressed,/general-conference/2022/10/18oaks,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1010-dallin-h-oaks-32k-eng.mp3
Dieter F. Uchtdorf,saturday-morning,2022,10,0,1,Jesus Christ Is the Strength of Youth,/general-conference/2022/10/12uchtdorf,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1020-dieter-f-uchtdorf-32k-eng.mp3
Tracy Y. Browning,saturday-morning,2022,10,0,2,Seeing More of Jesus Christ in Our Lives,/general-conference/2022/10/13browning,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1030-tracy-y-browning-32k-eng.mp3
Dale G. Renlund,saturday-morning,2022,10,0,3,A Framework for Personal Revelation,/general-conference/2022/10/14renlund,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1040-dale-g-renlund-32k-eng.mp3
Rafael E. Pino,saturday-morning,2022,10,0,4,Let Doing Good Be Our Normal,/general-conference/2022/10/15pino,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1050-rafael-e-pino-32k-eng.mp3
Hugo Montoya,saturday-morning,2022,10,0,5,The Eternal Principle of Love,/general-conference/2022/10/16montoya,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1060-hugo-montoya-32k-eng.mp3
Ronald A. Rasband,saturday-morning,2022,10,0,6,This Day,/general-conference/2022/10/17rasband,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1070-ronald-a-rasband-32k-eng.mp3
Russell M. Nelson,saturday-morning,2022,10,0,7,What Is True?,/general-conference/2022/10/19nelson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-1080-russell-m-nelson-32k-eng.mp3
Henry B. Eyring,saturday-afternoon,2022,10,1,0,"Sustaining of General Authorities, Area Seventies, and General Officers",/general-conference/2022/10/21eyring,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2010-sustaining-of-general-authorities-area-seventies-and-general-officers-32k-eng.mp3
M. Russell Ballard,saturday-afternoon,2022,10,1,1,Follow Jesus Christ with Footsteps of Faith,/general-conference/2022/10/22ballard,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2020-m-russell-ballard-32k-eng.mp3
Kristin M. Yee,saturday-afternoon,2022,10,1,2,Beauty for Ashes: The Healing Path of Forgiveness,/general-conference/2022/10/23yee,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2030-kristin-yee-32k-eng.mp3
Paul V. Johnson,saturday-afternoon,2022,10,1,3,Be Perfected in Him,/general-conference/2022/10/24johnson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2040-paul-v-johnson-32k-eng.mp3
Ulisses Soares,saturday-afternoon,2022,10,1,4,In Partnership with the Lord,/general-conference/2022/10/25soares,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2050-ulisses-soares-32k-eng.mp3
James W. McConkie III,saturday-afternoon,2022,10,1,5,And They Sought to See Jesus Who He Was,/general-conference/2022/10/26mcconkie,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2060-james-w-mcconkie-iii-32k-eng.mp3
Jorge F. Zeballos,saturday-afternoon,2022,10,1,6,Building a Life Resistant to the Adversary,/general-conference/2022/10/27zeballos,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-2070-jorge-f-zeballos-32k-eng.mp3
