"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Gary E. Stevenson","saturday-morning",2023,4,0,0,"A maior história de Páscoa já contada","/general-conference/2023/04/11stevenson","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1010-gary-e-stevenson-32k-por.mp3"
"Bonnie H. Cordon","saturday-morning",2023,4,0,1,"Nunca perca uma oportunidade de testificar de Cristo","/general-conference/2023/04/12cordon","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1020-bonnie-h-cordon-32k-por.mp3"
"Carl B. Cook","saturday-morning",2023,4,0,2,"Apenas siga em frente — com fé","/general-conference/2023/04/13cook","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1030-carl-b-cook-32k-por.mp3"
"Gerrit W. Gong","saturday-morning",2023,4,0,3,"Ministrar","/general-conference/2023/04/14gong","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1040-gerrit-w-gong-32k-por.mp3"
"Quentin L. Cook","saturday-morning",2023,4,0,4,"Reunidos em segurança no lar celestial","/general-conference/2023/04/15cook","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1050-quentin-l-cook-32k-por.mp3"
"Allen D. Haynie","saturday-morning",2023,4,0,5,"Um profeta vivo para os últimos dias","/general-conference/2023/04/16haynie","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1060-allen-d-haynie-32k-por.mp3"
"Henry B. Eyring","saturday-morning",2023,4,0,6,"Encontrar paz pessoal","/general-conference/2023/04/17eyring","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1070-henry-b-eyring-32k-por.mp3"
"Dallin H. Oaks","saturday-afternoon",2023,4,1,0,"Apoio às autoridades gerais, aos setentas de área e aos líderes gerais","/general-conference/2023/04/21oaks","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2010-sustaining-of-general-authorities-area-seventies-and-general-officers-32k-por.mp3"
"Jared B. Larson","saturday-afternoon",2023,4,1,1,"Relatório do Departamento de Auditoria da Igreja referente ao ano de 2022","/general-conference/2023/04/22larson","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2020-church-auditing-department-report-2022-32k-por.mp3"
"Dale G. Renlund","saturday-afternoon",2023,4,1,2,"Acessar o poder de Deus por meio dos convênios","/general-conference/2023/04/23renlund","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2030-dale-g-renlund-32k-por.mp3"
"Peter F. Meurs","saturday-afternoon",2023,4,1,3,"Ele podia <em>me</em> curar!","/general-conference/2023/04/24meurs","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2040-peter-f-meurs-32k-por.mp3"
"Randall K. Bennett","saturday-afternoon",2023,4,1,4,"Sua bênção patriarcal — Orientação inspirada do Pai Celestial","/general-conference/2023/04/25bennett","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2050-randall-k-bennett-32k-por.mp3"
"Craig C. Christensen","saturday-afternoon",2023,4,1,5,"“Nada pode haver tão belo e doce como o foi minha alegria”","/general-conference/2023/04/26christensen","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2060-craig-c-christensen-32k-por.mp3"
"Evan A. Schmutz","saturday-afternoon",2023,4,1,6,"Confiança na doutrina de Cristo","/general-conference/2023/04/27schmutz","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2070-evan-a-schmutz-32k-por.mp3"
"Benjamín De Hoyos","saturday-afternoon",2023,4,1,7,"O trabalho de templo e história da família constituem o mesmo trabalho","/general-conference/2023/04/28de-hoyos","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2080-benjamin-de-hoyos-32k-por.mp3"
"Dieter F. Uchtdorf","saturday-afternoon",2023,4,1,8,"Jesus Cristo é a força dos pais","/general-conference/2023/04/29uchtdorf","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2090-dieter-f-uchtdorf-32k-por.mp3"
"Mark A. Bragg","saturday-evening",2023,4,2,0,"Uma atitude serena como a de Cristo","/general-conference/2023/04/31bragg","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3010-mark-a-bragg-32k-por.mp3"
"Milton Camargo","saturday-evening",2023,4,2,1,"Concentrar-se em Jesus Cristo","/general-conference/2023/04/32camargo","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-3020-milton-camargo-32k-por.mp3"
