"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Gary E. Stevenson","saturday-morning",2023,4,0,0,"El relato más grandioso de la Pascua de Resurrección que se haya contado","/general-conference/2023/04/11stevenson","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1010-gary-e-stevenson-32k-spa.mp3"
"Bonnie H. Cordon","saturday-morning",2023,4,0,1,"Nunca dejen pasar la oportunidad de testificar de Cristo","/general-conference/2023/04/12cordon","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1020-bonnie-h-cordon-32k-spa.mp3"
"Carl B. Cook","saturday-morning",2023,4,0,2,"Simplemente sigue adelante, con fe","/general-conference/2023/04/13cook","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1030-carl-b-cook-32k-spa.mp3"
"Gerrit W. Gong","saturday-morning",2023,4,0,3,"La ministración","/general-conference/2023/04/14gong","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1040-gerrit-w-gong-32k-spa.mp3"
"Quentin L. Cook","saturday-morning",2023,4,0,4,"Reunidos a salvo en el hogar celestial","/general-conference/2023/04/15cook","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1050-quentin-l-cook-32k-spa.mp3"
"Allen D. Haynie","saturday-morning",2023,4,0,5,"Un profeta viviente para los últimos días","/general-conference/2023/04/16haynie","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1060-allen-d-haynie-32k-spa.mp3"
"Henry B. Eyring","saturday-morning",2023,4,0,6,"Hallar paz personal","/general-conference/2023/04/17eyring","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-1070-henry-b-eyring-32k-spa.mp3"
"Dallin H. Oaks","saturday-afternoon",2023,4,1,0,"Sostenimiento de las Autoridades Generales, los Setentas de Área y los Oficiales Generales","/general-conference/2023/04/21oaks","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2010-sustaining-of-general-authorities-area-seventies-and-general-officers-32k-spa.mp3"
"Jared B. Larson","saturday-afternoon",2023,4,1,1,"Informe del Departamento de Auditorías de la Iglesia, 2022","/general-conference/2023/04/22larson","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2020-church-auditing-department-report-2022-32k-spa.mp3"
"Dale G. Renlund","saturday-afternoon",2023,4,1,2,"Cómo acceder al poder de Dios a través de los convenios","/general-conference/2023/04/23renlund","https://media2.ldscdn.org/assets/general-conference/april-2023-general-conference/2023-04-2030-dale-g-renlund-32k-spa.mp3"
